DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
04/09/2019 17:45,3549,3158,All Island
04/09/2019 18:00,3509,3120,All Island
04/09/2019 18:15,3469,3158,All Island
04/09/2019 18:30,3428,3131,All Island
04/09/2019 18:45,3387,3143,All Island
04/09/2019 19:00,3328,3112,All Island
04/09/2019 19:15,3243,3059,All Island
04/09/2019 19:30,3157,3041,All Island
04/09/2019 19:45,3072,2990,All Island
04/09/2019 20:00,2985,2982,All Island
04/09/2019 20:15,2895,2919,All Island
04/09/2019 20:30,2806,2918,All Island
04/09/2019 20:45,2716,2867,All Island
04/09/2019 21:00,2618,2848,All Island
04/09/2019 21:15,2510,2722,All Island
04/09/2019 21:30,2402,2492,All Island
04/09/2019 21:45,2294,2311,All Island
04/09/2019 22:00,2198,2154,All Island
04/09/2019 22:15,2114,2056,All Island
04/09/2019 22:30,2029,2057,All Island
04/09/2019 22:45,1945,1882,All Island
04/09/2019 23:00,1865,1734,All Island
04/09/2019 23:15,1788,1778,All Island
04/09/2019 23:30,1712,1703,All Island
04/09/2019 23:45,1636,1660,All Island
05/09/2019 00:00,1558,1653,All Island
05/09/2019 00:15,1478,1543,All Island
05/09/2019 00:30,1399,1473,All Island
05/09/2019 00:45,1319,1509,All Island
05/09/2019 01:00,1184,1409,All Island
05/09/2019 01:15,1170,1405,All Island
05/09/2019 01:30,1155,1407,All Island
05/09/2019 01:45,1141,1328,All Island
05/09/2019 02:00,1150,1385,All Island
05/09/2019 02:15,1181,1323,All Island
05/09/2019 02:30,1213,1381,All Island
05/09/2019 02:45,1245,1343,All Island
05/09/2019 03:00,1255,1334,All Island
05/09/2019 03:15,1244,1261,All Island
05/09/2019 03:30,1233,1189,All Island
05/09/2019 03:45,1222,1240,All Island
05/09/2019 04:00,1217,1213,All Island
05/09/2019 04:15,1220,1327,All Island
05/09/2019 04:30,1222,1306,All Island
05/09/2019 04:45,1224,1284,All Island
05/09/2019 05:00,1221,1301,All Island
05/09/2019 05:15,1214,1334,All Island
05/09/2019 05:30,1206,1337,All Island
05/09/2019 05:45,1199,1340,All Island
05/09/2019 06:00,1201,1407,All Island
05/09/2019 06:15,1214,1484,All Island
05/09/2019 06:30,1227,1447,All Island
05/09/2019 06:45,1239,1461,All Island
05/09/2019 07:00,1290,1538,All Island
